"name","id","nametype","recclass","mass_g","fall","year","reclat","reclong","GeoLocation"
"Canyon Diablo",5257,"Valid","Iron, IAB-MG",3e+07,"Found",1891,35.05,-111.03333,"(35.05, -111.03333)"
"Chupaderos",5363,"Valid","Iron, IIIAB",24300000,"Found",1852,27,-105.1,"(27.0, -105.1)"
"Bacubirito",4919,"Valid","Iron, ungrouped",2.2e+07,"Found",1863,26.2,-107.83333,"(26.2, -107.83333)"
"Willamette",24269,"Valid","Iron, IIIAB",15500000,"Found",1902,45.36667,-122.58333,"(45.36667, -122.58333)"
"Morito",16745,"Valid","Iron, IIIAB",10100000,"Found",1600,27.05,-105.43333,"(27.05, -105.43333)"
"Brenham",5136,"Valid","Pallasite, PMG-an",4300000,"Found",1882,37.5825,-99.16361,"(37.5825, -99.16361)"
"Old Woman",18007,"Valid","Iron, IIAB",2753000,"Found",1976,34.46667,-115.23333,"(34.46667, -115.23333)"
"Navajo",16926,"Valid","Iron, IIAB",2184000,"Found",1921,35.33333,-109.5,"(35.33333, -109.5)"
"Coahuila",5387,"Valid","Iron, IIAB",2100000,"Found",1837,28.7,-102.73333,"(28.7, -102.73333)"
"Allende",2278,"Valid","CV3",2e+06,"Fell",1969,26.96667,-105.31667,"(26.96667, -105.31667)"
"Odessa (iron)",17985,"Valid","Iron, IAB-MG",1600000,"Found",1922,31.71667,-102.4,"(31.71667, -102.4)"
"Casas Grandes",5285,"Valid","Iron, IIIAB",1545000,"Found",1867,30.4,-107.8,"(30.4, -107.8)"
"Quinn Canyon",22364,"Valid","Iron, IIIAB",1450000,"Found",1908,38.08333,-115.53333,"(38.08333, -115.53333)"
"Goose Lake",10947,"Valid","Iron, IAB-sLL",1169500,"Found",1938,41.98,-120.54167,"(41.98, -120.54167)"
"Norton County",17922,"Valid","Aubrite",1100000,"Fell",1948,39.68333,-99.86667,"(39.68333, -99.86667)"
"Tucson",24061,"Valid","Iron, ungrouped",975000,"Found",1850,31.85,-110.96667,"(31.85, -110.96667)"
"Cosby's Creek",5450,"Valid","Iron, IAB-MG",960000,"Found",1837,35.78333,-83.25,"(35.78333, -83.25)"
"Red River",22548,"Valid","Iron, IIIAB",8e+05,"Found",1808,32,-95,"(32.0, -95.0)"
"Sardis",23177,"Valid","Iron, IAB complex",8e+05,"Found",1940,32.94889,-81.865,"(32.94889, -81.865)"
"Plainview (1917)",18841,"Valid","H5",7e+05,"Found",1917,34.11667,-101.78333,"(34.11667, -101.78333)"
"Davis Mountains",6615,"Valid","Iron, IIIAB",689000,"Found",1903,30.75,-104.25,"(30.75, -104.25)"
"Arispe",2332,"Valid","Iron, IC",683000,"Found",1896,30.33333,-109.98333,"(30.33333, -109.98333)"
"Long Island",14694,"Valid","L6",564000,"Found",1891,39.93333,-99.6,"(39.93333, -99.6)"
"Drum Mountains",7733,"Valid","Iron, IIIAB",529000,"Found",1944,39.5,-112.9,"(39.5, -112.9)"
"Grant",10957,"Valid","Iron, IIIAB",525000,"Found",1929,35.16667,-107.88333,"(35.16667, -107.88333)"
"Trenton",24045,"Valid","Iron, IIIAB",505000,"Found",1858,43.36667,-88.13333,"(43.36667, -88.13333)"
"Carbo",5266,"Valid","Iron, IID",454000,"Found",1923,29.66667,-111.5,"(29.66667, -111.5)"
"Etter",10062,"Valid","L5",450000,"Found",1965,35.98333,-101.9,"(35.98333, -101.9)"
"Wallapai",24206,"Valid","Iron, IID",430000,"Found",1927,35.8,-113.7,"(35.8, -113.7)"
"Paragould",18101,"Valid","LL5",408000,"Fell",1930,36.06667,-90.5,"(36.06667, -90.5)"
"Mount Joy",16779,"Valid","Iron, IIAB",384000,"Found",1887,39.78333,-77.21667,"(39.78333, -77.21667)"
"Hugoton",11984,"Valid","H5",350000,"Found",1927,37.2,-101.35,"(37.2, -101.35)"
"Estherville",10059,"Valid","Mesosiderite-A3/4",320000,"Fell",1879,43.41667,-94.83333,"(43.41667, -94.83333)"
"Guffey",11441,"Valid","Iron, ungrouped",309000,"Found",1907,38.76667,-105.51667,"(38.76667, -105.51667)"
"Morland",16746,"Valid","H6",295000,"Found",1890,39.33333,-100.06667,"(39.33333, -100.06667)"
"Estacado",10057,"Valid","H6",290000,"Found",1883,33.9,-101.75,"(33.9, -101.75)"
"Clovis (no. 1)",5385,"Valid","H3.6",283000,"Found",1961,34.3,-103.13472,"(34.3, -103.13472)"
"Lake Murray",12446,"Valid","Iron, IIAB",270000,"Found",1933,34.1,-97,"(34.1, -97.0)"
"Potter",18878,"Valid","L6",261000,"Found",1941,41.23333,-103.3,"(41.23333, -103.3)"
"Tishomingo",24010,"Valid","Iron, ungrouped",260000,"Found",1965,34.25,-96.68333,"(34.25, -96.68333)"
"St. Genevieve County",23086,"Valid","Iron, IIIF",244500,"Found",1888,37.96667,-90.31667,"(37.96667, -90.31667)"
"Sacramento Mountains",22794,"Valid","Iron, IIIAB",237200,"Found",1890,32.91667,-104.66667,"(32.91667, -104.66667)"
"Homestead",11901,"Valid","L5",230000,"Fell",1875,41.8,-91.86667,"(41.8, -91.86667)"
"New Concord",16953,"Valid","L6",230000,"Fell",1860,40,-81.76667,"(40.0, -81.76667)"
"Bear Creek",4982,"Valid","Iron, IIIAB",227000,"Found",1866,39.6,-105.3,"(39.6, -105.3)"
"Holbrook",11894,"Valid","L/LL6",220000,"Fell",1912,34.9,-110.18333,"(34.9, -110.18333)"
"Acuña",373,"Valid","Iron, IIIAB",217700,"Found",1981,29.31667,-100.96667,"(29.31667, -100.96667)"
"Dimmitt",7645,"Valid","H3.7",2e+05,"Found",1942,34.58333,-102.16667,"(34.58333, -102.16667)"
"Kenton County",12280,"Valid","Iron, IIIAB",194000,"Found",1889,38.81667,-84.6,"(38.81667, -84.6)"
"Owens Valley",18061,"Valid","Iron, IIIAB",192800,"Found",1913,37.46667,-118,"(37.46667, -118.0)"
"Admire",380,"Valid","Pallasite, PMG",180000,"Found",1881,38.7,-96.1,"(38.7, -96.1)"
"Travis County (a)",24040,"Valid","H5",175400,"Found",1889,30.3,-97.7,"(30.3, -97.7)"
"Owasco",18060,"Valid","L6",168400,"Found",1984,41.2,-103.68333,"(41.2, -103.68333)"
"Madoc",15381,"Valid","Iron, IIIAB",168000,"Found",1854,44.5,-77.46667,"(44.5, -77.46667)"
"Knowles",12334,"Valid","Iron, IIIAB",161000,"Found",1903,36.9,-100.21667,"(36.9, -100.21667)"
"Mount Vernon",16806,"Valid","Pallasite, PMG",159000,"Found",1868,36.93333,-87.4,"(36.93333, -87.4)"
"Kimble County",12311,"Valid","H6",153800,"Found",1918,30.41667,-99.4,"(30.41667, -99.4)"
"Bluff (a)",5087,"Valid","L5",153300,"Found",1878,29.87861,-96.87222,"(29.87861, -96.87222)"
"Forest City",10119,"Valid","H5",152000,"Fell",1890,43.25,-93.66667,"(43.25, -93.66667)"
"Weston",24249,"Valid","H4",150000,"Fell",1807,41.266667,-73.266667,"(41.266667, -73.266667)"
"McKinney",15463,"Valid","L4",150000,"Found",1870,33.18333,-96.71667,"(33.18333, -96.71667)"
"Tres Castillos",24047,"Valid","Iron, ungrouped",150000,"Found",1992,29.47,-105.8,"(29.47, -105.8)"
"Camp Wood",51830,"Valid","Iron, IIIAB",148000,"Found",NA,29.7725,-99.875,"(29.7725, -99.875)"
"Glorieta Mountain",10935,"Valid","Pallasite, PMG-an",148000,"Found",1884,35.6,-105.8,"(35.6, -105.8)"
"Wichita County",24257,"Valid","Iron, IAB-MG",145000,"Found",1836,34.06667,-98.91667,"(34.06667, -98.91667)"
"Keyes",12287,"Valid","L6",142000,"Found",1939,36.71667,-102.5,"(36.71667, -102.5)"
"Ysleta",30375,"Valid","Iron, ungrouped",140700,"Found",1914,31.65,-106.18333,"(31.65, -106.18333)"
"Selma",23486,"Valid","H4",140600,"Found",1906,32.4,-87,"(32.4, -87.0)"
"Huizopa",11985,"Valid","Iron, IVA",140000,"Found",1907,28.9,-108.56667,"(28.9, -108.56667)"
"Ider",11999,"Valid","Iron, IIIAB",140000,"Found",1957,34.68333,-85.65,"(34.68333, -85.65)"
"Brainard",5131,"Valid","Iron, IIIAB",138300,"Found",1978,41.15333,-96.955,"(41.15333, -96.955)"
"Babb's Mill (Blake's Iron)",4915,"Valid","Iron, ungrouped",136000,"Found",1876,36.3,-82.88333,"(36.3, -82.88333)"
"Carnegie",5278,"Valid","L6",132700,"Found",1963,35.16667,-98.64389,"(35.16667, -98.64389)"
"Ozona",18066,"Valid","H6",127500,"Found",1929,30.73333,-101.3,"(30.73333, -101.3)"
"Carthage",5282,"Valid","Iron, IIIAB",127000,"Found",1840,36.26667,-85.98333,"(36.26667, -85.98333)"
"Scurry",23468,"Valid","H5",118000,"Found",1937,32.5,-101,"(32.5, -101.0)"
"Cleveland",5379,"Valid","Iron, IIIAB",115000,"Found",1860,34.88333,-84.78333,"(34.88333, -84.78333)"
"Buenaventura",5162,"Valid","Iron, IIIAB",113600,"Found",1969,29.8,-107.55,"(29.8, -107.55)"
"Oakley (iron)",17972,"Valid","Iron, IIIF",111000,"Found",1926,42.33333,-113.7,"(42.33333, -113.7)"
"Florey",10112,"Valid","H6",110800,"Found",1978,32.5225,-102.705,"(32.5225, -102.705)"
"Faith",10071,"Valid","H5",105000,"Found",1952,45.33333,-102.08333,"(45.33333, -102.08333)"
"Chico",5346,"Valid","L6",104800,"Found",1954,36.5,-104.2,"(36.5, -104.2)"
"Colby (Wisconsin)",5395,"Valid","L6",104000,"Fell",1917,44.9,-90.28333,"(44.9, -90.28333)"
"Rifle",22605,"Valid","Iron, IAB-MG",102700,"Found",1948,38.51667,-107.83333,"(38.51667, -107.83333)"
"Faucett",10077,"Valid","H5",1e+05,"Found",1966,39.61667,-94.86667,"(39.61667, -94.86667)"
"Franconia",10174,"Valid","H5",1e+05,"Found",2002,34.71637,-114.22197,"(34.71637, -114.22197)"
